sID	Crystal_Order	Q_Order	Desktop_Confirmation	variable	value	valueJitter
816	ybr	1_7_3	1	seven	0.65	0.679057546909899
995	ybr	1_7_3	1	seven	0.51	0.538367062993348
1015	ybr	1_7_3	1	seven	1	0.962380165997893
1206	ybr	1_7_3	1	seven	0.51	0.54063319856301
889	yrb	1_7_3	1	seven	0.53	0.541002279687673
993	yrb	1_7_3	1	seven	0.46	0.496659287232906
1102	yrb	1_7_3	1	seven	0.14	0.127673208620399
1144	yrb	1_7_3	1	seven	0.16	0.181767521779984
857	bry	3_1_7	1	seven	0.06	0.0328029675595462
994	bry	3_1_7	1	seven	0.3	0.279047023765743
1043	bry	3_1_7	1	seven	0.05	0.030036302767694
1192	bry	3_1_7	1	seven	0.16	0.196728780791163
852	byr	3_1_7	1	seven	0.35	0.327653943374753
949	byr	3_1_7	1	seven	0.44	0.425117047931999
1151	byr	3_1_7	1	seven	0.46	0.4853734373115
1211	byr	3_1_7	1	seven	0.52	0.531501071415842
989	rby	3_1_7	1	seven	0.1	0.103971458561718
1067	rby	3_1_7	1	seven	0.28	0.285972415935248
1174	rby	3_1_7	1	seven	0.14	0.14700256107375
1340	rby	3_1_7	1	seven	0.17	0.154327078983188
871	ryb	3_1_7	1	seven	0.09	0.0766702982224524
965	ryb	3_1_7	1	seven	0.11	0.130407836418599
1078	ryb	3_1_7	1	seven	0.1	0.10868086727336
1185	ryb	3_1_7	1	seven	0.39	0.406991062611341
963	ybr	3_1_7	1	seven	0.36	0.365330738276243
1088	ybr	3_1_7	1	seven	0	0.0249850839562714
1213	ybr	3_1_7	1	seven	1	0.993685892838985
1342	ybr	3_1_7	1	seven	0.11	0.0966922829113901
845	yrb	3_1_7	1	seven	0.25	0.243678773995489
953	yrb	3_1_7	1	seven	1	1.02569736417383
1062	yrb	3_1_7	1	seven	1	1.01220557970926
1153	yrb	3_1_7	1	seven	0.42	0.393045505676419
872	bry	3_7_1	1	seven	0.76	0.772880437001586
981	bry	3_7_1	1	seven	1	0.991705693583935
1131	bry	3_7_1	1	seven	0.42	0.414662329424173
1348	bry	3_7_1	1	seven	0.04	0.0686704643629491
894	byr	3_7_1	1	seven	0.11	0.0705122718214989
938	byr	3_7_1	1	seven	0.15	0.161432612091303
1121	byr	3_7_1	1	seven	0.91	0.92283559050411
1129	byr	3_7_1	1	seven	0.3	0.302128398362547
843	rby	3_7_1	1	seven	0.25	0.222498254049569
1023	rby	3_7_1	1	seven	1	0.987491590250283
1118	rby	3_7_1	1	seven	0.08	0.0700537841580808
1339	rby	3_7_1	1	seven	0.48	0.515121662523597
808	ryb	3_7_1	1	seven	0.18	0.207223718389869
951	ryb	3_7_1	1	seven	0.52	0.525037083942443
1042	ryb	3_7_1	1	seven	0.34	0.367708145864308
1341	ryb	3_7_1	1	seven	0.09	0.0591969560459256
821	ybr	3_7_1	1	seven	0.23	0.249461687821895
946	ybr	3_7_1	1	seven	0.03	0.0680002660118043
1044	ybr	3_7_1	1	seven	0.29	0.255602927375585
1155	ybr	3_7_1	1	seven	0.11	0.0706697432696819
892	yrb	3_7_1	1	seven	0.09	0.102643908932805
1005	yrb	3_7_1	1	seven	1	0.995214191488922
1119	yrb	3_7_1	1	seven	0.06	0.0656526300683618
1190	yrb	3_7_1	1	seven	1	1.0196037873067
881	bry	7_1_3	1	seven	1	1.00662952985615
952	bry	7_1_3	1	seven	0.67	0.671485759373754
1057	bry	7_1_3	1	seven	0.15	0.152315299250185
1141	bry	7_1_3	1	seven	0.27	0.309497739579529
900	byr	7_1_3	1	seven	0.46	0.479062787368894
991	byr	7_1_3	1	seven	0.21	0.240361289400607
1046	byr	7_1_3	1	seven	0.04	0.0154532463476062
1346	byr	7_1_3	1	seven	0.38	0.412114036027342
899	rby	7_1_3	1	seven	0.67	0.674932181797922
1008	rby	7_1_3	1	seven	0.53	0.497170836310834
1133	rby	7_1_3	1	seven	0.46	0.466542796120048
1169	rby	7_1_3	1	seven	0.11	0.0754204980842769
867	ryb	7_1_3	1	seven	0.15	0.172783533465117
918	ryb	7_1_3	1	seven	0.09	0.054786430131644
1054	ryb	7_1_3	1	seven	0.99	1.02111494954675
1184	ryb	7_1_3	1	seven	0.56	0.531137932166457
876	ybr	7_1_3	1	seven	0.16	0.174572083801031
941	ybr	7_1_3	1	seven	0.24	0.201928411219269
1116	ybr	7_1_3	1	seven	0.16	0.170677707195282
1194	ybr	7_1_3	1	seven	0.54	0.542922306898981
815	yrb	7_1_3	1	seven	0.49	0.458612127434462
939	yrb	7_1_3	1	seven	0.4	0.413528413083404
1086	yrb	7_1_3	1	seven	0.35	0.35347939260304
1207	yrb	7_1_3	1	seven	0.13	0.137701375745237
912	bry	7_3_1	1	seven	0.3	0.336132794730365
936	bry	7_3_1	1	seven	0.06	0.0543655207939446
1061	bry	7_3_1	1	seven	0.84	0.816422193162143
1124	bry	7_3_1	1	seven	0.46	0.429485984388739
861	byr	7_3_1	1	seven	0.39	0.367351729050279
955	byr	7_3_1	1	seven	0.99	1.02773574506864
1093	byr	7_3_1	1	seven	1	1.02249852892011
1202	byr	7_3_1	1	seven	0.17	0.184127935916185
833	rby	7_3_1	1	seven	0.12	0.133357779476792
944	rby	7_3_1	1	seven	0.14	0.159187855049968
1112	rby	7_3_1	1	seven	0.88	0.867583141867071
1164	rby	7_3_1	1	seven	0.85	0.870591839645058
818	ryb	7_3_1	1	seven	0.31	0.297147326208651
947	ryb	7_3_1	1	seven	0.13	0.112937755677849
1037	ryb	7_3_1	1	seven	0.13	0.127918204553425
1337	ryb	7_3_1	1	seven	1	0.96581435278058
858	ybr	7_3_1	1	seven	0.21	0.22244540290907
1007	ybr	7_3_1	1	seven	0.19	0.195409543234855
1020	ybr	7_3_1	1	seven	0.11	0.103217294309288
1189	ybr	7_3_1	1	seven	0.38	0.379710238818079
883	yrb	7_3_1	1	seven	0.72	0.744710921887308
1002	yrb	7_3_1	1	seven	0.17	0.172351910900325
1056	yrb	7_3_1	1	seven	0.94	0.962006574776024
1203	yrb	7_3_1	1	seven	1	1.01338914841414
