sID	Crystal_Order	Q_Order	1_strength_rating	3_strength_rating	7_strength_rating	Desktop_Confirmation	Attention_Confirmation	Age	Sex	Technical_issues	Duration (sek)
1164	rby	7_3_1	58	19	85	1	1	62	1	None	240
818	ryb	7_3_1	65	52	31	1	1	23	1	-99	193
947	ryb	7_3_1	100	36	13	1	1	24	2	-99	86
1037	ryb	7_3_1	100	28	13	1	1	29	2	-99	121
1337	ryb	7_3_1	100	99	100	1	1	42	2	-99	121
858	ybr	7_3_1	99	52	21	1	1	22	1	-99	172
1007	ybr	7_3_1	100	61	19	1	1	23	2	at first it could not load the page but after refreshing it was fine	261
1020	ybr	7_3_1	100	40	11	1	1	26	2	-99	185
1189	ybr	7_3_1	100	55	38	1	1	22	2	-99	115
883	yrb	7_3_1	45	32	72	1	1	35	2	-99	213
1002	yrb	7_3_1	99	45	17	1	1	19	2	I did not encounter any problems in this study	283
1056	yrb	7_3_1	92	92	94	1	1	35	1	-99	220
1203	yrb	7_3_1	100	100	100	1	1	57	1	-99	86
