sID	Capacity_Info	Crystal_Order	Q_Order	1_strength_rating	3_strength_rating	7_strength_rating	Desktop_Confirmation	Attention_Confirmation	Capacity_Check	Age	Sex	Technical_issues	Duration (sek)	Capacity_Check_rec
1100	different	yrb	1_7_3	100	26	8	1	1	1	23	1	-99	302	correct
1287	different	yrb	1_7_3	99	100	99	1	1	1	41	2	-99	148	correct
1367	different	yrb	1_7_3	91	10	28	1	1	1	26	1	-99	95	correct
889	none	yrb	1_7_3	100	82	53	1	1	-77	26	2	-99	222	NA
993	none	yrb	1_7_3	22	35	46	1	1	-77	27	2	There were no errors	554	NA
1102	none	yrb	1_7_3	100	40	14	1	1	-77	23	2	-99	102	NA
1144	none	yrb	1_7_3	100	33	16	1	1	-77	37	2	-	151	NA
990	same	yrb	1_7_3	98	40	20	1	1	2	20	2	There were no errors	267	correct
1255	same	yrb	1_7_3	87	88	89	1	1	2	24	2	-99	125	correct
1327	same	yrb	1_7_3	79	38	67	1	1	2	19	1	-99	71	correct
1328	same	yrb	1_7_3	99	29	9	1	1	2	18	1	-99	184	correct
896	different	bry	3_1_7	48	48	48	1	1	1	64	2	The study doesn't indicate how much of the healthy elements each type of crystal produces. Nor does it indicate how much of the clyptophan (sp?) each type of crystal produces. We don't know if all three crystals produce the same amount or not.	367	correct
1090	different	bry	3_1_7	98	1	0	1	1	1	29	2	-99	158	correct
1177	different	bry	3_1_7	99	99	99	1	1	1	35	2	N/A	167	correct
1280	different	bry	3_1_7	70	48	34	1	1	1	29	3	-99	105	correct
857	none	bry	3_1_7	100	24	6	1	1	-77	18	2	-99	130	NA
994	none	bry	3_1_7	92	69	30	1	1	-77	22	1	-99	179	NA
1043	none	bry	3_1_7	95	48	5	1	1	-77	28	2	-99	99	NA
1192	none	bry	3_1_7	98	35	16	1	1	-77	38	2	-99	169	NA
874	same	bry	3_1_7	99	52	50	1	1	2	35	1	None	300	correct
982	same	bry	3_1_7	100	36	17	1	1	2	41	1	None, thank you	4614	correct
1212	same	bry	3_1_7	86	75	69	1	1	2	38	2	-99	239	correct
1370	same	bry	3_1_7	100	51	14	1	1	2	28	2	none	186	correct
880	different	byr	3_1_7	19	49	90	1	1	1	20	2	-99	206	correct
1019	different	byr	3_1_7	99	35	11	1	1	1	47	2	-99	181	correct
1025	different	byr	3_1_7	29	100	10	1	1	1	24	2	-99	213	correct
1165	different	byr	3_1_7	71	48	47	1	1	1	23	2	-99	161	correct
852	none	byr	3_1_7	100	57	35	1	1	-77	23	1	None	238	NA
949	none	byr	3_1_7	99	71	44	1	1	-77	24	2	-99	81	NA
1151	none	byr	3_1_7	46	46	46	1	1	-77	29	1	-99	123	NA
1211	none	byr	3_1_7	100	69	52	1	1	-77	46	1	no errors from my side.	787	NA
1016	same	byr	3_1_7	100	78	16	1	1	2	26	2	NA	454	correct
1029	same	byr	3_1_7	99	100	100	1	1	2	44	2	-99	149	correct
1240	same	byr	3_1_7	99	99	99	1	1	2	25	2	n/a	191	correct
1389	same	byr	3_1_7	48	58	82	1	1	2	26	1	none	357	correct
847	different	rby	3_1_7	99	99	100	1	1	1	19	1	-99	481	correct
1225	different	rby	3_1_7	99	99	99	1	1	1	43	2	No errors.	231	correct
1331	different	rby	3_1_7	83	41	22	1	1	1	49	2	-99	110	correct
1332	different	rby	3_1_7	100	87	67	1	1	1	55	2	-99	199	correct
989	none	rby	3_1_7	100	47	10	1	1	-77	28	2	-99	168	NA
1067	none	rby	3_1_7	99	54	28	1	1	-77	22	2	-99	102	NA
1174	none	rby	3_1_7	93	46	14	1	1	-77	45	2	-99	214	NA
1340	none	rby	3_1_7	100	61	17	1	1	-77	25	1	-99	223	NA
931	same	rby	3_1_7	100	64	11	1	1	2	50	2	-99	210	correct
1157	same	rby	3_1_7	99	65	40	1	1	2	48	1	no errors	403	correct
1271	same	rby	3_1_7	82	82	83	1	1	2	25	2	-99	143	correct
1377	same	rby	3_1_7	99	47	66	1	1	2	24	2	There was no error that I came across whilst completing this study.	355	correct
822	different	ryb	3_1_7	10	54	99	1	1	1	24	1	-99	361	correct
1017	different	ryb	3_1_7	100	100	100	1	1	1	28	2	-99	118	correct
1115	different	ryb	3_1_7	100	92	92	1	1	1	35	2	-99	279	correct
1242	different	ryb	3_1_7	72	69	59	1	1	1	30	2	No errors detected	65	correct
871	none	ryb	3_1_7	100	32	9	1	1	-77	25	1	na	151	NA
965	none	ryb	3_1_7	100	62	11	1	1	-77	30	1	-99	118	NA
1078	none	ryb	3_1_7	100	30	10	1	1	-77	33	1	-99	89	NA
1185	none	ryb	3_1_7	99	59	39	1	1	-77	25	2	i did not find any errors in this study	519	NA
877	same	ryb	3_1_7	100	24	10	1	1	2	23	1	No errors reported.	180	correct
1176	same	ryb	3_1_7	100	99	100	1	1	2	36	2	-99	220	correct
1323	same	ryb	3_1_7	98	51	23	1	1	2	26	2	N/A	100	correct
1361	same	ryb	3_1_7	100	75	24	1	1	2	26	2	-99	198	correct
914	different	ybr	3_1_7	100	77	37	1	1	1	19	1	-99	116	correct
933	different	ybr	3_1_7	86	92	41	1	1	1	25	1	-99	420	correct
1051	different	ybr	3_1_7	99	99	1	1	1	1	22	1	-99	817	correct
1160	different	ybr	3_1_7	100	45	13	1	1	1	57	2	-99	158	correct
963	none	ybr	3_1_7	99	70	36	1	1	-77	21	1	n/a	164	NA
1088	none	ybr	3_1_7	100	0	0	1	1	-77	30	1	-99	155	NA
1213	none	ybr	3_1_7	100	100	100	1	1	-77	37	1	None.	273	NA
1342	none	ybr	3_1_7	96	69	11	1	1	-77	43	2	-99	80	NA
866	same	ybr	3_1_7	96	67	27	1	1	2	32	2	-99	122	correct
1065	same	ybr	3_1_7	37	41	37	1	1	2	28	2	-99	83	correct
1264	same	ybr	3_1_7	42	41	41	1	1	2	33	3	-99	144	correct
1379	same	ybr	3_1_7	88	77	68	1	1	2	36	2	-99	160	correct
923	different	yrb	3_1_7	99	77	30	1	1	1	45	1	-99	98	correct
1041	different	yrb	3_1_7	100	34	23	1	1	1	22	1	-99	258	correct
1143	different	yrb	3_1_7	100	49	51	1	1	1	32	2	-99	353	correct
1308	different	yrb	3_1_7	100	100	100	1	1	1	22	1	-99	331	correct
845	none	yrb	3_1_7	98	55	25	1	1	-77	31	1	-99	182	NA
953	none	yrb	3_1_7	100	100	100	1	1	-77	36	1	-99	130	NA
1062	none	yrb	3_1_7	100	100	100	1	1	-77	32	2	I did not encounter any errors or issues.	378	NA
1153	none	yrb	3_1_7	100	58	42	1	1	-77	44	2	-99	228	NA
924	same	yrb	3_1_7	100	44	14	1	1	2	51	1	-99	119	correct
1159	same	yrb	3_1_7	100	100	100	1	1	2	31	2	-99	235	correct
1294	same	yrb	3_1_7	59	33	8	1	1	2	35	1	No issues at all.	201	correct
1395	same	yrb	3_1_7	100	37	14	1	1	2	37	1	none	139	correct
859	different	bry	3_7_1	88	67	22	1	1	1	53	1	-99	184	correct
1026	different	bry	3_7_1	99	68	33	1	1	1	41	2	-99	149	correct
1064	different	bry	3_7_1	100	99	99	1	1	1	21	2	-99	395	correct
1247	different	bry	3_7_1	100	73	23	1	1	1	18	2	-99	143	correct
872	none	bry	3_7_1	100	74	76	1	1	-77	22	2	-99	114	NA
981	none	bry	3_7_1	99	100	100	1	1	-77	24	1	No errors everything was fine	249	NA
1131	none	bry	3_7_1	100	53	42	1	1	-77	40	2	-99	117	NA
1348	none	bry	3_7_1	100	32	4	1	1	-77	21	1	-99	340	NA
992	same	bry	3_7_1	100	48	10	1	1	2	33	2	-99	370	correct
1142	same	bry	3_7_1	99	50	9	1	1	2	31	2	-99	210	correct
1261	same	bry	3_7_1	0	97	0	1	1	2	26	2	-99	126	correct
1366	same	bry	3_7_1	94	36	7	1	1	2	34	1	-99	90	correct
853	different	byr	3_7_1	24	39	76	1	1	1	25	1	-99	46	correct
984	different	byr	3_7_1	99	74	24	1	1	1	44	2	-99	178	correct
1047	different	byr	3_7_1	100	79	43	1	1	1	26	2	-99	82	correct
1158	different	byr	3_7_1	99	46	24	1	1	1	20	2	-99	276	correct
894	none	byr	3_7_1	100	30	11	1	1	-77	26	1	for the time being everything is good i have no complaint	337	NA
938	none	byr	3_7_1	100	29	15	1	1	-77	25	1	-99	359	NA
1121	none	byr	3_7_1	41	72	91	1	1	-77	32	1	None, it was great thank you!	110	NA
1129	none	byr	3_7_1	99	60	30	1	1	-77	18	2	-99	219	NA
829	same	byr	3_7_1	100	31	9	1	1	2	24	2	-99	117	correct
968	same	byr	3_7_1	100	29	7	1	1	2	44	1	-99	138	correct
1096	same	byr	3_7_1	100	47	24	1	1	2	19	2	-99	124	correct
1218	same	byr	3_7_1	100	68	25	1	1	2	27	2	-99	148	correct
897	different	rby	3_7_1	100	27	12	1	1	1	34	2	-99	128	correct
976	different	rby	3_7_1	85	27	55	1	1	1	26	1	-99	156	correct
1082	different	rby	3_7_1	100	62	66	1	1	1	28	2	I didn't encounter any glitches during the study.	341	correct
1238	different	rby	3_7_1	98	100	99	1	1	1	41	2	-99	158	correct
843	none	rby	3_7_1	99	44	25	1	1	-77	18	2	-99	174	NA
1023	none	rby	3_7_1	100	100	100	1	1	-77	27	2	-99	156	NA
1118	none	rby	3_7_1	100	28	8	1	1	-77	22	1	-99	68	NA
1339	none	rby	3_7_1	46	48	48	1	1	-77	26	1	-99	147	NA
807	same	rby	3_7_1	100	100	100	1	1	2	35	1	-99	273	correct
1009	same	rby	3_7_1	100	35	14	1	1	2	40	1	-99	153	correct
1140	same	rby	3_7_1	100	27	9	1	1	2	25	1	-99	183	correct
1269	same	rby	3_7_1	95	84	77	1	1	2	32	2	-99	223	correct
888	different	ryb	3_7_1	100	61	28	1	1	1	23	2	n/a	114	correct
973	different	ryb	3_7_1	100	71	40	1	1	1	43	2	None	128	correct
1217	different	ryb	3_7_1	14	33	84	1	1	1	26	2	no errors	346	correct
1304	different	ryb	3_7_1	97	69	15	1	1	1	33	1	No errors, Thank you.	137	correct
808	none	ryb	3_7_1	99	33	18	1	1	-77	30	2	-99	105	NA
951	none	ryb	3_7_1	50	51	52	1	1	-77	31	1	i didnt came across anything wrong	260	NA
1042	none	ryb	3_7_1	85	51	34	1	1	-77	38	2	-99	74	NA
1341	none	ryb	3_7_1	99	61	9	1	1	-77	28	2	N/A	118	NA
817	same	ryb	3_7_1	98	82	74	1	1	2	20	2	na	103	correct
928	same	ryb	3_7_1	83	30	5	1	1	2	27	1	-99	137	correct
1085	same	ryb	3_7_1	100	50	6	1	1	2	30	1	-99	277	correct
1181	same	ryb	3_7_1	19	19	19	1	1	2	25	1	-99	208	correct
895	different	ybr	3_7_1	100	70	46	1	1	1	21	2	N/a	152	correct
983	different	ybr	3_7_1	100	72	16	1	1	1	21	2	-99	89	correct
1125	different	ybr	3_7_1	99	99	99	1	1	1	19	2	-99	337	correct
1126	different	ybr	3_7_1	100	76	12	1	1	1	29	2	-99	83	correct
821	none	ybr	3_7_1	100	67	23	1	1	-77	25	1	-99	200	NA
946	none	ybr	3_7_1	3	2	3	1	1	-77	56	2	technical issues	256	NA
1044	none	ybr	3_7_1	100	45	29	1	1	-77	21	2	-99	408	NA
1155	none	ybr	3_7_1	100	27	11	1	1	-77	38	1	-99	122	NA
986	same	ybr	3_7_1	99	35	7	1	1	2	25	1	-99	551	correct
1120	same	ybr	3_7_1	77	77	80	1	1	2	28	2	-99	254	correct
1263	same	ybr	3_7_1	100	26	13	1	1	2	19	1	-99	359	correct
1364	same	ybr	3_7_1	84	47	34	1	1	2	33	2	-99	152	correct
811	different	yrb	3_7_1	70	32	5	1	1	1	25	1	-99	141	correct
1004	different	yrb	3_7_1	100	71	34	1	1	1	19	2	-99	165	correct
1045	different	yrb	3_7_1	17	49	84	1	1	1	19	2	-99	182	correct
1250	different	yrb	3_7_1	50	98	35	1	1	1	35	1	-99	182	correct
892	none	yrb	3_7_1	99	28	9	1	1	-77	19	2	-99	163	NA
1005	none	yrb	3_7_1	100	100	100	1	1	-77	28	2	-99	105	NA
1119	none	yrb	3_7_1	100	32	6	1	1	-77	27	2	-99	102	NA
1190	none	yrb	3_7_1	99	100	100	1	1	-77	37	2	-99	93	NA
